14        0.326957    0.469802    0.838889  0.795198      00:19     
15        0.336371    0.468821    0.838611  0.801096      00:18     
16        0.325906    0.472703    0.844444  0.802956      00:19     
17        0.318130    0.478596    0.838889  0.799308      00:19     
18        0.326442    0.473755    0.848333  0.804721      00:20     
19        0.338633    0.468355    0.837222  0.800136      00:18     
0         0.545384    0.457244    0.818056  0.770417      00:18     
1         0.518481    0.452743    0.827222  0.789581      00:19     
2         0.492497    0.433174    0.843056  0.799716      00:19     
3         0.524140    0.447039    0.845556  0.796635      00:18     
4         0.492439    0.441256    0.831111  0.797738      00:18     
5         0.476519    0.438744    0.838611  0.802984      00:18     
6         0.423889    0.465520    0.822500  0.796432      00:19     
7         0.421136    0.433308    0.854722  0.807650      00:18     
8         0.424773    0.466208    0.844722  0.800997      00:18     
9         0.396107    0.455111    0.843611  0.807521      00:19     
10        0.407717    0.450240    0.850000  0.809993      00:18     
11        0.364179    0.452318    0.848333  0.809756      00:19     
12        0.352488    0.467463    0.842222  0.807978      00:18     
13        0.342663    0.458750    0.846389  0.808186      00:18     
14        0.330309    0.458896    0.846389  0.805350      00:18     
15        0.337801    0.470736    0.844444  0.804469      00:18     
16        0.329458    0.464901    0.848056  0.805546      00:19     
17        0.323316    0.479676    0.850556  0.806056      00:19     
18        0.331983    0.470459    0.851944  0.803394      00:19     
19        0.345591    0.459942    0.846389  0.809113      00:17     
0         0.545853    0.465232    0.810556  0.768657      00:18     
1         0.517584    0.451250    0.828889  0.788607      00:19     
2         0.490294    0.431604    0.841111  0.784962      00:19     
3         0.527518    0.438768    0.843611  0.797409      00:18     
4         0.492425    0.443670    0.843611  0.795049      00:18     
5         0.475974    0.447548    0.826111  0.791611      00:18     
6         0.426074    0.460245    0.829167  0.798294      00:19     
7         0.424553    0.438105    0.847500  0.805388      00:18     
8         0.429822    0.477628    0.842222  0.807848      00:18     
9         0.398994    0.491735    0.832500  0.797038      00:19     
10        0.410186    0.469900    0.835278  0.799594      00:17     
11        0.363866    0.467796    0.845278  0.800287      00:18     
12        0.354616    0.469591    0.849444  0.810886      00:18     
13        0.346634    0.458709    0.849722  0.805466      00:18     
14        0.337974    0.459997    0.848889  0.807092      00:18     
15        0.347471    0.460964    0.853611  0.810908      00:18     
16        0.333551    0.472823    0.851667  0.804967      00:19     
17        0.324763    0.485554    0.847222  0.800869      00:19     
18        0.335573    0.474364    0.850278  0.801911      00:19     
19        0.345054    0.467897    0.841389  0.804653      00:18     
0         0.545589    0.464358    0.811667  0.767967      00:18     
1         0.520790    0.451850    0.827500  0.791541      00:19     
2         0.491698    0.429961    0.842500  0.797138      00:19     
3         0.527379    0.441414    0.843889  0.795933      00:18     
4         0.494103    0.438805    0.838333  0.801906      00:18     
5         0.470187    0.443804    0.829722  0.797489      00:18     
6         0.422664    0.459671    0.822778  0.795513      00:19     
7         0.425562    0.429933    0.847222  0.802726      00:18     
8         0.414902    0.454855    0.845833  0.805331      00:18     
9         0.396480    0.475247    0.842778  0.801124      00:19     
10        0.404256    0.467053    0.840833  0.805829      00:17     
11        0.360270    0.457887    0.845833  0.801289      00:19     
12        0.354403    0.459916    0.840833  0.804102      00:19     
13        0.342561    0.464718    0.842500  0.803466      00:18     
14        0.337029    0.457176    0.843333  0.802659      00:18     
15        0.332974    0.462781    0.844722  0.804203      00:18     
16        0.324221    0.470268    0.843611  0.800990      00:19     
17        0.317584    0.479961    0.844444  0.799427      00:19     
18        0.331092    0.470878    0.848333  0.801455      00:20     
19        0.345116    0.472575    0.838333  0.802310      00:17     
0         0.546539    0.460136    0.811389  0.765458      00:18     
1         0.518975    0.460200    0.821667  0.789646      00:19     
2         0.492796    0.433106    0.848333  0.801887      00:19     
3         0.529985    0.442383    0.837778  0.795661      00:17     
4         0.493647    0.448425    0.827500  0.793756      00:18     
5         0.468238    0.448043    0.831667  0.799470      00:18     
6         0.424732    0.453141    0.833056  0.800399      00:20     
7         0.421049    0.432463    0.850556  0.801329      00:18     
8         0.425764    0.465199    0.840833  0.806354      00:18     
9         0.398017    0.464197    0.837778  0.804421      00:19     
10        0.408321    0.448917    0.840278  0.801929      00:18     
11        0.353494    0.452526    0.850833  0.803080      00:18     
12        0.350125    0.465503    0.835000  0.800938      00:19     
13        0.343084    0.450994    0.846389  0.805487      00:18     
14        0.327832    0.449451    0.848611  0.808031      00:18     
15        0.332391    0.469036    0.840556  0.805424      00:18     
16        0.327123    0.462411    0.848333  0.807882      00:19     
17        0.314068    0.471160    0.848056  0.804852      00:19     
18        0.329286    0.461304    0.851944  0.807789      00:20     
19        0.337679    0.460686    0.841667  0.805461      00:17     
0         0.543489    0.457737    0.819167  0.770208      00:18     
1         0.512754    0.453848    0.826389  0.789207      00:19     
2         0.495874    0.432832    0.841944  0.798298      00:19     
3         0.529124    0.442430    0.840556  0.795292      00:18     
4         0.492492    0.430649    0.840000  0.799163      00:18     
5         0.475048    0.436085    0.845556  0.806407      00:18     
6         0.419549    0.450330    0.841111  0.808696      00:19     
7         0.419328    0.433585    0.846667  0.803138      00:18     
8         0.423442    0.457036    0.852778  0.811790      00:17     
9         0.394334    0.462289    0.850556  0.814483      00:19     
10        0.414477    0.455577    0.851389  0.809812      00:18     
11        0.360729    0.456392    0.849722  0.805326      00:18     
12        0.347529    0.457450    0.850278  0.804922      00:19     
13        0.338025    0.457282    0.855278  0.812792      00:18     
14        0.329610    0.473585    0.850556  0.811228      00:18     
15        0.335752    0.470370    0.848333  0.808555      00:18     
16        0.322645    0.476377    0.851389  0.809676      00:19     
17        0.320510    0.485736    0.850556  0.809084      00:19     
